env_class,edge_case,lo,hi,n,mean_blend_w,pct_genuinely_blended,mean_delta_log_rms,mean_pct_sat_after,mean_pct_crush_after,surrogate_mode,stopping_rule_pass
night_clear,extreme_dark,0.1,0.4,40,0.00481,0.05,-0.14736,0.02835,3e-05,single_frame_ema_proxy,0
nir_night,,0.1,0.4,40,0.93932,0.3,0.02991,0.00039,0.01471,single_frame_ema_proxy,0
normal_night,,0.1,0.4,40,0.14438,0.6,-0.06381,0.02735,0.00558,single_frame_ema_proxy,0
fog,,0.1,0.4,30,0.98403,0.0333,0.01271,0.00034,0.00225,single_frame_ema_proxy,0
glare,,0.1,0.4,30,0.73697,0.5333,0.03228,0.00627,1e-05,single_frame_ema_proxy,0
backlight,,0.1,0.4,25,0.91116,0.32,-0.01091,1e-05,0.00697,single_frame_ema_proxy,0
rain,,0.1,0.4,20,0.93802,0.2,0.02552,0.0004,0.00529,single_frame_ema_proxy,0
normal_day,,0.1,0.4,20,0.97561,0.15,-0.01706,0.00051,0.01136,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.1,0.4,25,0.02348,0.2,-0.10433,0.05552,0.0008,single_frame_ema_proxy,0
night_clear,extreme_dark,0.1,0.45,40,0.00412,0.05,-0.1492,0.02864,3e-05,single_frame_ema_proxy,0
nir_night,,0.1,0.45,40,0.87865,0.5,0.03764,0.00043,0.00911,single_frame_ema_proxy,0
normal_night,,0.1,0.45,40,0.12376,0.55,-0.06752,0.02593,0.00508,single_frame_ema_proxy,0
fog,,0.1,0.45,30,0.98155,0.0333,0.01328,0.00034,0.00225,single_frame_ema_proxy,0
glare,,0.1,0.45,30,0.67602,0.6333,0.01797,0.00429,2e-05,single_frame_ema_proxy,0
backlight,,0.1,0.45,25,0.86407,0.44,-0.03497,1e-05,0.0033,single_frame_ema_proxy,0
rain,,0.1,0.45,20,0.89077,0.4,0.02416,0.00042,0.00317,single_frame_ema_proxy,0
normal_day,,0.1,0.45,20,0.93028,0.4,-0.02841,0.00051,0.00974,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.1,0.45,25,0.02013,0.16,-0.10706,0.05184,0.00081,single_frame_ema_proxy,0
night_clear,extreme_dark,0.1,0.55,40,0.00321,0.025,-0.15401,0.02763,3e-05,single_frame_ema_proxy,0
nir_night,,0.1,0.55,40,0.74613,0.75,0.05598,0.00053,0.00259,single_frame_ema_proxy,0
normal_night,,0.1,0.55,40,0.09626,0.5,-0.06789,0.02647,0.00495,single_frame_ema_proxy,0
fog,,0.1,0.55,30,0.9611,0.1667,0.01831,0.00063,0.00226,single_frame_ema_proxy,0
glare,,0.1,0.55,30,0.57198,0.8333,-0.00754,0.00565,0.0,single_frame_ema_proxy,0
backlight,,0.1,0.55,25,0.75056,0.72,-0.09546,0.00188,0.00187,single_frame_ema_proxy,0
rain,,0.1,0.55,20,0.76899,0.8,0.02049,0.00048,0.00203,single_frame_ema_proxy,0
normal_day,,0.1,0.55,20,0.81185,0.7,-0.05974,0.00026,0.00208,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.1,0.55,25,0.01566,0.08,-0.10696,0.06161,0.00079,single_frame_ema_proxy,0
night_clear,extreme_dark,0.15,0.4,40,0.0,0.0,-0.14542,0.02706,3e-05,single_frame_ema_proxy,0
nir_night,,0.15,0.4,40,0.92719,0.325,0.03192,0.00039,0.01376,single_frame_ema_proxy,0
normal_night,,0.15,0.4,40,0.07022,0.275,-0.0522,0.04345,0.00527,single_frame_ema_proxy,0
fog,,0.15,0.4,30,0.98084,0.0333,0.01347,0.00035,0.00225,single_frame_ema_proxy,0
glare,,0.15,0.4,30,0.6978,0.5,0.03458,0.00642,2e-05,single_frame_ema_proxy,0
backlight,,0.15,0.4,25,0.89339,0.32,-0.02096,1e-05,0.00696,single_frame_ema_proxy,0
rain,,0.15,0.4,20,0.92562,0.2,0.02781,0.00046,0.00489,single_frame_ema_proxy,0
normal_day,,0.15,0.4,20,0.97073,0.15,-0.01897,0.00051,0.01134,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.15,0.4,25,0.0,0.0,-0.09672,0.12309,0.00079,single_frame_ema_proxy,0
night_clear,extreme_dark,0.15,0.45,40,0.0,0.0,-0.14797,0.02864,3e-05,single_frame_ema_proxy,0
nir_night,,0.15,0.45,40,0.85842,0.525,0.04082,0.00043,0.00868,single_frame_ema_proxy,0
normal_night,,0.15,0.45,40,0.05851,0.275,-0.0568,0.04161,0.00484,single_frame_ema_proxy,0
fog,,0.15,0.45,30,0.97848,0.0333,0.01411,0.00062,0.00225,single_frame_ema_proxy,0
glare,,0.15,0.45,30,0.63322,0.6,0.01933,0.00446,2e-05,single_frame_ema_proxy,0
backlight,,0.15,0.45,25,0.84142,0.44,-0.04842,0.00091,0.00301,single_frame_ema_proxy,0
rain,,0.15,0.45,20,0.87256,0.45,0.02594,0.00053,0.00314,single_frame_ema_proxy,0
normal_day,,0.15,0.45,20,0.91866,0.45,-0.03212,0.00051,0.00949,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.15,0.45,25,0.0,0.0,-0.10053,0.118,0.00081,single_frame_ema_proxy,0
night_clear,extreme_dark,0.15,0.55,40,0.0,0.0,-0.15305,0.02763,3e-05,single_frame_ema_proxy,0
nir_night,,0.15,0.55,40,0.71439,0.775,0.06093,0.0008,0.00246,single_frame_ema_proxy,0
normal_night,,0.15,0.55,40,0.04388,0.275,-0.05845,0.04305,0.00475,single_frame_ema_proxy,0
fog,,0.15,0.55,30,0.95624,0.1667,0.01964,0.00098,0.00226,single_frame_ema_proxy,0
glare,,0.15,0.55,30,0.52687,0.8,-0.00816,0.01356,0.0,single_frame_ema_proxy,0
backlight,,0.15,0.55,25,0.71938,0.72,-0.11496,0.00547,0.00178,single_frame_ema_proxy,0
rain,,0.15,0.55,20,0.74011,0.8,0.02154,0.00068,0.00195,single_frame_ema_proxy,0
normal_day,,0.15,0.55,20,0.78833,0.7,-0.06667,0.00026,0.00192,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.15,0.55,25,0.0,0.0,-0.10205,0.11943,0.00079,single_frame_ema_proxy,0
night_clear,extreme_dark,0.2,0.4,40,0.0,0.0,-0.14542,0.02706,3e-05,single_frame_ema_proxy,0
nir_night,,0.2,0.4,40,0.90898,0.325,0.03509,0.00039,0.0128,single_frame_ema_proxy,0
normal_night,,0.2,0.4,40,0.02908,0.125,-0.04834,0.05114,0.00524,single_frame_ema_proxy,0
fog,,0.2,0.4,30,0.97605,0.0333,0.01481,0.00091,0.00225,single_frame_ema_proxy,0
glare,,0.2,0.4,30,0.65423,0.4333,0.03594,0.01596,3e-05,single_frame_ema_proxy,0
backlight,,0.2,0.4,25,0.86674,0.32,-0.0371,0.00129,0.00696,single_frame_ema_proxy,0
rain,,0.2,0.4,20,0.90703,0.25,0.03144,0.00091,0.00419,single_frame_ema_proxy,0
normal_day,,0.2,0.4,20,0.96341,0.15,-0.02193,0.00051,0.01133,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.2,0.4,25,0.0,0.0,-0.09672,0.12309,0.00079,single_frame_ema_proxy,0
night_clear,extreme_dark,0.2,0.45,40,0.0,0.0,-0.14797,0.02864,3e-05,single_frame_ema_proxy,0
nir_night,,0.2,0.45,40,0.8301,0.525,0.04512,0.00043,0.00382,single_frame_ema_proxy,0
normal_night,,0.2,0.45,40,0.02326,0.125,-0.05317,0.04937,0.00481,single_frame_ema_proxy,0
fog,,0.2,0.45,30,0.97417,0.0333,0.01537,0.00111,0.00225,single_frame_ema_proxy,0
glare,,0.2,0.45,30,0.58544,0.5333,0.0195,0.01406,3e-05,single_frame_ema_proxy,0
backlight,,0.2,0.45,25,0.8097,0.48,-0.06818,0.00302,0.0028,single_frame_ema_proxy,0
rain,,0.2,0.45,20,0.84708,0.45,0.02851,0.00107,0.00314,single_frame_ema_proxy,0
normal_day,,0.2,0.45,20,0.90239,0.45,-0.03744,0.00051,0.00908,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.2,0.45,25,0.0,0.0,-0.10053,0.118,0.00081,single_frame_ema_proxy,0
night_clear,extreme_dark,0.2,0.55,40,0.0,0.0,-0.15305,0.02763,3e-05,single_frame_ema_proxy,0
nir_night,,0.2,0.55,40,0.67359,0.775,0.0674,0.00205,0.00239,single_frame_ema_proxy,0
normal_night,,0.2,0.55,40,0.01661,0.125,-0.05535,0.0503,0.00473,single_frame_ema_proxy,0
fog,,0.2,0.55,30,0.94999,0.1667,0.0214,0.00134,0.00226,single_frame_ema_proxy,0
glare,,0.2,0.55,30,0.47755,0.7333,-0.00977,0.02267,0.0,single_frame_ema_proxy,0
backlight,,0.2,0.55,25,0.6793,0.72,-0.14035,0.01296,0.00168,single_frame_ema_proxy,0
rain,,0.2,0.55,20,0.70299,0.8,0.02281,0.00163,0.00187,single_frame_ema_proxy,0
normal_day,,0.2,0.55,20,0.75809,0.7,-0.07562,0.00029,0.00171,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.2,0.55,25,0.0,0.0,-0.10205,0.11943,0.00079,single_frame_ema_proxy,0
